sample_id,sample_date,gage_ht,temp,p_h,cond,cl,no3_n,so4_s,na,k,mg,ca,nh4_n,po4_p,doc,dic,tdn,tdp,si_o2,don,tss
QS,1990-12-18,3.85,20.5,6.9,51.9,NA,178,0.76,4.5,0.29,1.51,2.43,NA,NA,NA,NA,0.25,NA,NA,NA,1.66
QS,1990-12-25,3.02,20,6.8,58.3,NA,152,0.95,4.77,0.41,1.56,2.5,NA,NA,NA,NA,0.27,NA,NA,NA,3.91
QS,1990-12-31,4.6,20,6.81,51.2,NA,184,0.86,4.44,0.55,1.08,1.72,NA,NA,NA,NA,0.61,NA,NA,NA,4.1
QS,1991-01-08,3.9,20,6.69,50.7,NA,225,0.9,4.68,0.42,1.27,2.11,NA,NA,NA,NA,0.37,NA,NA,NA,5.23
QS,1991-01-15,3.66,20,6.99,51.5,NA,NA,NA,1.8,0.37,1.5,2.49,NA,NA,NA,NA,0.28,NA,NA,NA,15.14
QS,1991-01-22,2.7,18.5,6.7,53.1,NA,NA,NA,3,0.37,1.55,2.57,NA,NA,NA,NA,0.21,NA,NA,NA,2.7
QS,1991-01-29,2.72,20,7.3,59.8,NA,242,1.85,2.8,0.34,1.59,2.91,NA,NA,NA,NA,0.17,NA,7.83,NA,1.8
QS,1991-02-05,2.7,20,6.82,55.3,NA,68,0.91,2.7,0.37,1.52,2.58,NA,NA,NA,NA,0.22,NA,8.73,NA,11.92
QS,1991-02-12,2.6,20,7.31,55.9,NA,173,NA,2.7,0.44,1.58,2.86,NA,NA,NA,NA,0.26,NA,NA,NA,3.01
QS,1991-02-19,3.7,21,6.85,42.9,NA,7,1.43,2.1,0.4,1.06,1.96,NA,NA,NA,NA,0.49,NA,NA,NA,10.55
QS,1991-02-26,3.12,21,7.16,52.7,NA,184,0.9,2.5,0.41,1.5,2.52,NA,NA,NA,NA,0.26,NA,NA,NA,4.06
QS,1991-03-05,3.04,19.5,6.23,50.9,NA,130,0.77,4.4,0.33,1.49,2.33,NA,NA,NA,NA,0.26,NA,NA,NA,1.66
QS,1991-03-12,2.9,19,7.18,53.1,NA,181,0.93,4.6,0.38,1.58,2.86,NA,NA,NA,NA,0.23,NA,NA,NA,1.77
QS,1991-03-19,3.24,19,6.96,54.5,NA,208,0.88,4.79,0.35,1.42,2.41,NA,NA,NA,NA,0.31,NA,NA,NA,NA
QS,1991-03-26,2.66,19.5,6.62,56.4,NA,175,0.78,7.33,0.42,1.44,2.43,NA,8,NA,NA,0.27,NA,NA,NA,NA
QS,1991-04-02,2.82,20,7.22,58.9,NA,183,0.9,4.99,0.39,1.64,2.76,NA,NA,NA,NA,0.31,NA,NA,NA,2.03
QS,1991-04-09,2.9,20,6.94,54.1,NA,88,NA,4.99,0.39,1.4,2.4,NA,NA,NA,NA,0.29,NA,NA,NA,0.37
QS,1991-04-15,3.4,21,7.08,54.9,NA,19,NA,5.04,0.48,1.31,2.26,NA,12,NA,NA,0.21,NA,NA,NA,5.5
QS,1991-04-23,2.6,22,6.95,58.6,NA,163,NA,5.21,0.52,1.6,2.4,NA,5,NA,NA,NA,NA,NA,NA,3.03
QS,1991-04-30,2.46,21,7.11,57.8,NA,156,NA,5.46,0.52,1.18,1.97,NA,8,NA,NA,NA,NA,NA,NA,2.9
QS,1991-05-07,2.98,21,7.24,49.2,NA,16,NA,4.69,0.42,1.69,2.22,NA,NA,NA,NA,NA,NA,NA,NA,6.5
QS,1991-05-14,2.86,21.5,7.06,52.8,NA,143,0.81,4.72,0.43,1.67,2.27,NA,NA,NA,NA,0.28,NA,NA,NA,4.55
QS,1991-05-21,2.85,21.5,6.54,54,NA,136,0.93,4.89,0.43,1.4,2.3,NA,NA,NA,NA,0.23,NA,NA,NA,4.36
QS,1991-05-28,2.78,21.5,6.28,51.1,NA,6,0.87,4.84,0.48,1.46,2.27,NA,NA,NA,NA,0.32,NA,NA,NA,3.75
QS,1991-06-04,2.55,22,7.23,60.8,NA,52,0.82,5.24,0.47,1.77,2.27,NA,NA,NA,NA,0.28,NA,NA,NA,4.03
QS,1991-06-11,5.2,22,6.8,50.1,7.56,102,NA,4.52,0.45,1.08,2.69,NA,NA,7.5,NA,0.3,NA,NA,NA,48.54
QS,1991-06-18,2.52,23.5,6.71,60.8,7.59,165,NA,5.23,0.5,1.61,2.27,NA,NA,NA,NA,0.32,NA,NA,NA,3.52
QS,1991-06-25,2.54,23,6.68,58.5,7.18,140,0.92,4.15,0.5,1.69,2.27,NA,NA,4.6,NA,0.34,NA,NA,NA,2.11
QS,1991-07-02,3,23,7.33,51.9,7.45,6,2.74,4.53,0.4,1.68,2.31,NA,NA,7.21,NA,0.33,NA,NA,NA,5.75
QS,1991-07-09,2.54,23,7.46,57.7,7.06,152,0.8,5,0.47,1.62,2.47,NA,NA,4.92,NA,0.36,NA,NA,NA,1.94
QS,1991-07-16,3.85,22,6.88,44.5,NA,NA,NA,0.45,0.45,1.61,2.75,NA,NA,8.7,NA,0.64,NA,NA,NA,NA
QS,1991-07-23,2.45,22.5,7.03,61.3,8.12,55,0.9,5.59,0.37,1.71,2.76,NA,NA,6.66,NA,0.37,NA,NA,NA,2.79
QS,1991-07-30,2.65,23.5,7.14,57.1,NA,63,0.84,5.51,0.36,1.54,2.59,NA,NA,7.07,NA,0.38,NA,NA,NA,3.18
QS,1991-08-06,2.42,23,7.02,57.5,NA,51,0.61,5.48,0.38,2.29,2.81,NA,NA,7.79,NA,NA,NA,NA,NA,3.73
QS,1991-08-13,2.57,23.5,7.12,61.4,8.09,86,0.95,5.52,0.41,2.36,2.91,NA,NA,6.8,NA,NA,NA,NA,NA,5.44
QS,1991-08-20,2.45,23,7.02,58.7,9.38,10,1.5,5.27,0.4,2.24,3.27,NA,NA,7.08,NA,NA,NA,NA,NA,5.1
QS,1991-08-27,3.35,22.5,6.95,49,8.94,131,0.75,4.89,0.45,1.48,2.41,NA,6,15.16,NA,NA,NA,11.51,NA,11.28
QS,1991-09-03,2.76,23.5,7.3,61,NA,13,0.47,5.12,0.45,1.6,3.38,NA,5,NA,NA,NA,NA,12.41,NA,3.07
QS,1991-09-10,NA,NA,6.99,56.3,NA,13,0.49,5.25,0.51,1.71,2.81,NA,NA,NA,NA,NA,NA,13.04,NA,5.25
QS,1991-09-17,3.51,22.5,7.22,50,NA,116,0.84,4.67,0.41,1.34,1.9,NA,NA,NA,NA,NA,NA,12.68,NA,16.81
QS,1991-09-24,2.97,23.5,7.28,58,7.06,119,0.24,6.36,NA,1.98,3.3,NA,NA,NA,NA,NA,NA,12.75,NA,3.52
QS,1991-10-01,3.38,22.5,6.96,46.3,2.34,136,NA,4.27,NA,1.2,1.91,NA,NA,NA,NA,NA,NA,9.81,NA,5.95
QS,1991-10-08,2.94,NA,7.04,56.3,2.03,165,1.03,5.24,0.44,1.59,1.76,NA,NA,NA,NA,NA,NA,13.73,NA,2.67
QS,1991-10-15,2.9,22,7.25,56.7,5.37,168,0.61,5.87,0.51,1.66,2.03,NA,NA,NA,NA,NA,NA,13.08,NA,3.07
QS,1991-10-22,2.7,23,7.32,61.8,7.22,166,0.76,5.3,0.54,1.73,1.81,NA,NA,NA,NA,NA,NA,15.68,NA,2.7
QS,1991-10-29,2.32,19.5,7.16,65,2.55,44,0.1,4.88,0.71,1.62,1.54,NA,NA,NA,NA,NA,NA,16.09,NA,1.6
QS,1991-11-05,3.55,20.5,6.67,NA,6.83,133,0.9,6.55,0.53,3.58,5.13,NA,NA,NA,NA,NA,NA,8.85,NA,9.81
QS,1991-11-12,3.34,20,7.41,45.7,6.6,150,NA,4.67,NA,1.36,1.62,NA,NA,2.04,NA,NA,NA,10.99,NA,3.5
QS,1991-11-18,3.02,20.5,6.89,50.5,7.78,103,2,4.98,0.4,1.6,2.18,NA,NA,2.69,NA,NA,NA,13.34,NA,2.32
QS,1991-11-26,3.57,20,7.01,45.8,NA,140,NA,4.47,0.5,1.28,1.23,NA,NA,NA,NA,NA,NA,11.11,NA,3.3
QS,1991-12-03,4.7,20,6.87,44,9.77,291,0.81,4.84,0.43,1.16,1.94,NA,NA,NA,NA,NA,NA,7.21,NA,12.2
QS,1991-12-10,3.66,20,7.32,49,3.71,189,3.24,4.53,0.31,1.22,1.86,NA,NA,NA,NA,NA,NA,11.45,NA,3.94
QS,1991-12-17,3.42,19.5,6.91,46.2,7.49,152,0.79,5.05,0.38,1.58,1.9,NA,NA,NA,NA,NA,NA,12.51,NA,3.77
QS,1991-12-23,3.26,18.5,7.02,51.7,8.36,155,1.57,4.89,0.42,1.56,2.54,NA,NA,NA,NA,NA,NA,10.86,NA,0.98
QS,1991-12-30,3.42,20,7.2,58.6,9.02,155,0.62,5.59,0.47,1.73,2.83,NA,NA,NA,NA,NA,NA,10.73,NA,1.22
QS,1992-01-07,3.6,NA,6.9,51.6,7.85,177,0.77,5.09,0.51,1.48,2.54,NA,5,NA,NA,NA,NA,9.54,NA,1.91
QS,1992-01-14,3.6,21,7.25,51.5,7.75,176,0.65,4.99,0.39,1.43,2.29,NA,5,2.31,NA,NA,NA,9.23,NA,0.96
QS,1992-01-21,3.32,20,7.39,55.2,7.72,142,0.6,5.33,0.33,1.7,2.72,NA,4,2.43,NA,NA,NA,11.85,NA,1.67
QS,1992-01-28,3.4,19.5,7.33,59.4,7.98,135,0.64,5.35,0.38,1.77,2.81,NA,NA,3.35,NA,NA,NA,11.06,NA,2.1
QS,1992-02-04,3.35,19.5,7.24,60,7.45,132,0.9,5.84,0.49,1.81,2.3,NA,7,1.43,NA,NA,NA,12.72,NA,3.1
QS,1992-02-11,3.4,19.5,7.39,55.4,NA,20,1.61,5.29,0.5,1.66,2.15,NA,NA,NA,NA,NA,NA,10.4,NA,3.5
QS,1992-02-18,3.09,20,7.13,NA,NA,107,NA,5.45,0.43,1.79,2.77,NA,NA,NA,NA,NA,NA,14.49,NA,1.51
QS,1992-02-25,3.29,20,7.34,62.01,NA,29,1.75,6.59,NA,1.88,2.79,NA,8,NA,NA,NA,NA,11.64,NA,2.3
QS,1992-03-03,2.85,19.5,7.23,65.7,NA,136,NA,5.6,0.58,1.8,2.78,NA,NA,NA,NA,NA,NA,14.28,NA,1.92
QS,1992-03-10,3.24,20,6.27,58.1,NA,140,NA,5.2,0.66,1.55,2.71,NA,5,NA,NA,NA,NA,13.1,NA,1.43
QS,1992-03-17,3.24,20,6.36,54.3,NA,124,0.61,4.98,0.34,1.59,2.25,NA,NA,NA,NA,NA,NA,13.36,NA,1.6
QS,1992-03-24,NA,NA,NA,NA,NA,NA,NA,5.72,0.42,1.61,2.12,NA,NA,NA,NA,NA,NA,11.14,NA,NA
QS,1992-04-01,3.32,21,6.68,55.8,NA,111,0.71,5.95,0.56,1.69,2.22,NA,NA,NA,NA,NA,NA,12.65,NA,1.86
QS,1992-04-07,3.7,21,6.64,54.5,NA,112,0.88,2.16,NA,0.45,0.76,NA,19,NA,NA,NA,NA,11.57,NA,4.86
QS,1992-04-14,3.58,21,7.09,57.6,NA,49,0.68,5.45,0.33,NA,7.78,NA,NA,NA,NA,NA,NA,NA,NA,2.38
QS,1992-04-21,3.38,22,6.58,56.6,NA,68,0.71,5.82,0.48,1.52,2.13,NA,NA,NA,NA,NA,NA,10.93,NA,1.27
QS,1992-04-28,3.16,22,6.51,61,NA,156,1.37,6.11,0.56,1.78,2.74,NA,NA,NA,NA,NA,NA,13.95,NA,1.77
QS,1992-05-05,3.48,20,5.76,51.4,NA,152,0.74,5.06,0.4,1.46,2.27,NA,NA,NA,NA,NA,NA,12.38,NA,1.41
QS,1992-05-12,3.58,21,6.61,52.5,NA,133,0.68,4.68,0.33,1.31,2.11,NA,NA,NA,NA,NA,NA,11.63,NA,2.2
QS,1992-05-19,3.38,22,6.925,50.9,8.83,147,0.7,5.95,0.53,1.67,2.42,NA,NA,NA,NA,NA,NA,13.33,NA,1.76
QS,1992-05-26,3.7,22,7,39.5,6.98,NA,0.74,5.09,0.4,1.4,2.23,NA,NA,NA,NA,NA,NA,9.46,NA,6.1
QS,1992-06-02,4,22,5.87,41.1,5.82,51,0.64,4.25,0.27,1.2,1.97,NA,NA,NA,NA,NA,NA,7.6,NA,11.57
QS,1992-06-09,3.4,22,6.33,52,6.94,10,0.65,5.05,0.46,1.63,2.54,NA,NA,NA,NA,NA,NA,11.31,NA,3.46
QS,1992-06-16,4.25,22,5.67,38.7,5.41,41,0.58,3.64,0.31,0.96,1.73,NA,NA,NA,NA,NA,NA,5.4,NA,15.9
QS,1992-06-23,4.3,23,6.26,51.1,NA,149,0.77,4.79,0.38,1.58,2.29,NA,NA,NA,NA,NA,NA,12.65,NA,15.15
QS,1992-06-30,3.2,23,6.9,59.4,8.89,147,0.66,6.22,0.54,1.93,3.12,NA,23,NA,NA,NA,NA,13.22,NA,3.27
QS,1992-07-07,2.3,23,6.35,61.8,NA,141,0.79,5.67,0.52,1.8,2.93,NA,NA,NA,NA,NA,NA,15.15,NA,1.28
QS,1992-07-14,3.4,22,7.13,48.3,8.35,100,0.75,5.57,0.41,1.55,2.75,NA,NA,NA,NA,NA,NA,9.52,NA,4.9
QS,1992-07-21,3.5,22,6.83,47.9,8.95,81,0.79,6.6,0.43,1.77,2.95,NA,NA,NA,NA,NA,NA,7.57,NA,5.15
QS,1992-07-28,3.2,22,7.19,47,4.01,95,0.34,2.77,0.25,0.79,1.26,NA,NA,NA,NA,NA,NA,9.32,NA,4
QS,1992-08-04,3.4,23,7.34,55.6,NA,114,NA,4.99,0.41,1.45,2.15,NA,NA,NA,NA,NA,NA,12.47,NA,5.4
QS,1992-08-11,4.1,23,6.92,34.4,4.77,75,0.56,3.74,0.37,1.08,1.56,NA,NA,NA,NA,NA,NA,4.95,NA,14.6
QS,1992-08-18,3.5,23,6.85,53.3,7.25,146,0.55,5.09,0.4,1.56,2.62,NA,NA,NA,NA,NA,NA,11.46,NA,2.58
QS,1992-08-25,2.78,23,6.96,52.7,9.96,110,1.45,6.91,0.71,2.36,5.42,NA,NA,NA,NA,NA,NA,13.34,NA,1.71
QS,1992-09-01,2.95,23,7.09,51.6,7.62,138,0.63,5.21,0.49,1.72,2.83,NA,NA,NA,NA,NA,NA,11.92,NA,2.17
QS,1992-09-08,3.1,22,6.3,55.7,6.6,85,0.52,4.44,0.24,1.38,2.33,NA,NA,NA,NA,NA,NA,8.84,NA,2.87
QS,1992-09-15,2.95,23,6.97,53.2,9.43,63,0.71,6.29,0.52,2.23,2.93,NA,NA,NA,NA,NA,NA,11.18,NA,2.03
QS,1992-09-22,3.4,22,NA,NA,6.57,35,0.51,4.51,0.35,1.4,2.12,NA,NA,NA,NA,NA,NA,10.96,NA,4.28
QS,1992-09-29,3.4,23,NA,52.5,8.13,41,0.53,5.46,0.31,1.95,2.61,NA,5,NA,NA,NA,NA,12.68,NA,2.12
QS,1992-10-06,3,22,6.98,54.9,7.61,105,0.55,5.14,0.48,1.86,2.97,NA,6,NA,NA,NA,NA,14.79,NA,2.51
QS,1992-10-13,2.82,22,7.02,60.5,6.87,157,0.57,4.83,0.41,1.67,2.56,NA,4,NA,NA,NA,NA,13.75,NA,1.77
QS,1992-10-20,3.22,22,6.44,50.2,6.12,150,1.28,5.14,0.47,1.56,2.53,NA,NA,NA,NA,NA,NA,8.88,NA,7.17
QS,1992-10-27,2.4,23,7.25,60.2,3.86,114,0.24,5.33,0.41,1.79,2.46,NA,NA,NA,NA,NA,NA,14.33,NA,2
QS,1992-11-03,3.5,21,6.93,37.6,5.54,98,0.69,4.03,0.59,0.94,1.7,NA,NA,NA,NA,NA,NA,7.14,NA,7.73
QS,1992-11-10,3.6,22,6.74,44.7,6.95,34,0.6,4.53,0.32,1.34,2.02,NA,NA,NA,NA,NA,NA,7.53,NA,5.6
QS,1992-11-17,3.1,21,6.85,44.5,3.13,9,0.27,1.73,0.21,0.61,1.03,NA,NA,NA,NA,NA,NA,8.89,NA,2.06
QS,1992-11-24,3.65,22,6.65,41.5,7.11,24,0.52,4.92,0.27,1.16,1.84,NA,NA,NA,NA,NA,NA,8.88,NA,4.27
QS,1992-12-01,3.55,21,7.25,47.7,6.7,NA,0.53,4.16,0.67,1.17,1.77,NA,NA,NA,NA,NA,NA,8.72,NA,3.6
QS,1992-12-08,3.4,20,7.09,49.5,7.35,16,0.49,4.84,0.27,1.44,2.54,NA,NA,NA,NA,NA,NA,10.2,NA,1.91
QS,1992-12-15,3.5,21,6.6,43.3,5.41,99,0.66,4.57,0.4,1.24,1.97,NA,NA,NA,NA,NA,NA,7.29,NA,6.3
QS,1992-12-22,5,20,6.56,41.7,6.88,NA,0.9,5.47,0.41,1.11,1.92,NA,NA,NA,NA,NA,NA,5.18,NA,11.67
QS,1992-12-29,4.92,20,6.87,45.3,6.86,NA,0.6,4.62,0.41,1.32,1.85,NA,5,NA,NA,NA,NA,8.72,NA,6
